Country,covCases,covDeaths,airQual,percentEducation,GDP,avgInc,landlocked,waterlocked,popDens
French Guiana,450.00,1.00,,,5180000000.00,42108.00,0.00,0.00,4.00
French Polynesia,60.00,0.00,,,3448000000.00,16326.00,0.00,1.00,67.00
Gabon,2613.00,15.00,44.00,2.70,15013950984.00,38360.00,1.00,0.00,8.00
Gambia,25.00,1.00,,2.10,1489464788.00,7978.00,0.00,0.00,226.00
Georgia,757.00,12.00,20.10,3.80,15081338092.00,2591.00,0.00,0.00,57.00
Germany,183033.00,8594.00,11.00,4.80,3693204332230.00,33333.00,0.00,0.00,235.00
Ghana,7616.00,34.00,30.30,3.60,58996776238.00,2050.00,0.00,0.00,130.00
Gibraltar,161.00,0.00,,,2044000000.00,50513.00,0.00,0.00,5615.00
Greece,2909.00,175.00,22.50,4.10,203085551429.00,17777.00,0.00,0.00,79.00
Greenland,13.00,0.00,12.00,,2707000000.00,33000.00,0.00,1.00,0.00
Grenada,23.00,0.00,23.00,3.20,1126882296.00,15814.00,0.00,0.00,327.00
Guadeloupe,162.00,14.00,,,10300000000.00,9000.00,0.00,0.00,246.00
Guam,172.00,5.00,12.00,,5859000000.00,42848.00,0.00,1.00,307.00
Guatemala,4607.00,90.00,20.20,2.80,75620095538.00,13199.00,0.00,0.00,165.00
Guinea,3656.00,22.00,26.00,2.20,10472514515.00,4516.00,0.00,0.00,53.00
Guinea Bissau,1256.00,8.00,30.00,2.10,1346841897.00,7007.00,0.00,0.00,54.00
Guyana,150.00,11.00,22.00,6.30,3621046005.00,18237.00,0.00,0.00,4.00
Haiti,1584.00,35.00,15.00,2.50,8408150518.00,2735.00,0.00,0.00,411.00
Honduras,4752.00,196.00,21.00,6.00,22978532897.00,4848.00,0.00,0.00,88.00
Hong Kong,1083.00,4.00,20.30,3.30,341449340451.00,35443.00,0.00,0.00,6791.00
Hungary,3867.00,524.00,14.60,4.70,139761138103.00,12445.00,1.00,0.00,104.00
Iceland,1805.00,10.00,5.60,7.50,24488467010.00,39600.00,0.00,1.00,3.00
India,174355.00,4982.00,58.10,3.00,2650725335364.00,3168.00,0.00,0.00,420.00
Indonesia,25773.00,1573.00,51.70,3.60,1015420587285.00,2199.00,0.00,1.00,144.00
Iran,148950.00,7734.00,24.30,4.00,454012768724.00,12046.00,0.00,0.00,51.00
Iraq,5873.00,185.00,39.60,3.50,192060810811.00,4481.00,0.00,0.00,92.00
Ireland,24876.00,1645.00,10.60,3.70,331430014003.00,43309.00,0.00,1.00,70.00
Isle Of Man,336.00,24.00,,,6771000000.00,58784.00,0.00,1.00,149.00
Israel,17008.00,284.00,20.80,5.80,353268411919.00,30364.00,0.00,0.00,417.00
Italy,232248.00,33229.00,17.10,3.80,1943835376342.00,20085.00,0.00,0.00,201.00
Ivory Coast,2750.00,32.00,,5.10,12070000000.00,30147.00,0.00,0.00,82.00
Jamaica,569.00,9.00,13.00,5.40,43010000000.00,2980.00,0.00,1.00,269.00
Japan,16719.00,874.00,11.40,3.60,4872415104315.00,33822.00,0.00,1.00,335.00
Jordan,730.00,9.00,18.30,3.60,40068308451.00,8276.00,0.00,0.00,114.00
Kazakhstan,10382.00,37.00,23.60,2.80,162886867832.00,7492.00,1.00,0.00,7.00
Kenya,1745.00,62.00,29.00,5.20,79263075749.00,1870.00,0.00,0.00,93.00
Kiribati,0.00,0.00,11.00,12.00,185572502.00,41528.00,0.00,1.00,147.00
Kuwait,26192.00,205.00,38.30,3.80,120126277613.00,40854.00,0.00,0.00,240.00
Kyrgyzstan,1722.00,16.00,33.20,6.10,7564738836.00,4034.00,1.00,0.00,33.00
Laos,19.00,0.00,23.10,2.90,16853087485.00,3379.00,1.00,0.00,31.00
Latvia,1065.00,24.00,13.30,4.70,30463302414.00,10461.00,0.00,0.00,29.00
Lebanon,1172.00,26.00,31.00,2.50,53576985687.00,13004.00,0.00,0.00,653.00
Lesotho,2.00,0.00,28.00,6.50,2578265358.00,8330.00,1.00,0.00,71.00
Liberia,273.00,27.00,18.00,2.30,3285455000.00,781.00,0.00,0.00,45.00
Libya,118.00,5.00,54.00,2.30,38107728083.00,6398.00,0.00,0.00,4.00
Liechtenstein,82.00,1.00,,2.10,6215000000.00,66744.00,1.00,0.00,238.00
Lithuania,1662.00,68.00,14.50,4.00,47544459559.00,12375.00,0.00,0.00,42.00
Luxembourg,4012.00,110.00,9.60,4.00,47544459559.00,52493.00,1.00,0.00,242.00
Macau,45.00,0.00,23.50,2.70,55080000000.00,51474.00,0.00,0.00,21645.00
Macedonia,2129.00,126.00,32.40,,12670000000.00,22974.00,1.00,0.00,81.00
Madagascar,698.00,5.00,23.00,2.80,11499803807.00,1013.00,0.00,1.00,47.00
Malawi,273.00,4.00,24.00,4.00,6303292264.00,10424.00,1.00,0.00,161.00
Malaysia,7762.00,115.00,19.40,4.70,6303292264.00,11207.00,0.00,0.00,98.00
Maldives,1591.00,5.00,7.80,4.10,4865546027.00,25017.00,0.00,1.00,1802.00
Mali,1226.00,73.00,39.00,3.10,15334336144.00,1500.00,1.00,0.00,16.00
Malta,618.00,9.00,9.40,5.30,12518134319.00,21141.00,0.00,1.00,1397.00
Marshall Islands,0.00,0.00,10.00,12.20,204173430.00,27240.00,0.00,0.00,327.00
Martinique,200.00,14.00,,,9610000000.00,41499.00,0.00,1.00,333.00
Mauritania,423.00,20.00,47.00,2.60,5024708656.00,6679.00,0.00,0.00,5.00
Mauritius,335.00,10.00,14.00,4.80,13266427697.00,20859.21,0.00,1.00,623.00
Mayotte,1699.00,21.00,,,3300000000.00,34780.00,0.00,0.00,729.00
Mexico,84627.00,9415.00,20.00,4.90,1150887823404.00,11680.00,0.00,0.00,66.00
Micronesia,0.00,0.00,,12.50,401900000.00,17040.00,0.00,0.00,164.00
Moldova,7896.00,288.00,16.00,6.70,8128493432.00,4158.00,1.00,0.00,119.00
Monaco,98.00,4.00,,1.50,7185000000.00,138590.00,0.00,0.00,19427.00
Mongolia,179.00,0.00,62.00,4.10,11433635876.00,5922.00,1.00,0.00,2.00
Montenegro,324.00,9.00,21.00,  ,4844592067.00,11519.00,0.00,0.00,45.00
Montserrat,11.00,1.00,,,167400000.00,12166.00,0.00,1.00,49.00
Morocco,7740.00,203.00,33.00,5.40,109708728849.00,6634.00,0.00,0.00,83.00
Mozambique,234.00,2.00,21.00,6.50,12645508634.00,23274.00,0.00,0.00,39.00
Myanmar,224.00,6.00,31.00,2.20,67068745521.00,392.00,0.00,0.00,80.00
Namibia,23.00,0.00,25.00,8.40,13253698015.00,19755.00,0.00,0.00,3.00
Nauru,0.00,0.00,,4.90,125600000.00,1567.00,0.00,1.00,515.00
Nepal,1401.00,6.00,44.50,5.20,24880266905.00,2718.00,1.00,0.00,198.00
Netherlands,46257.00,5951.00,10.90,5.50,830572618850.00,38584.00,0.00,0.00,409.00
New Caledonia,19.00,0.00,,,2682000000.00,46682.49,0.00,1.00,15.00
New Zealand,1504.00,22.00,7.50,6.40,204139049909.00,35562.00,0.00,1.00,18.00
Nicaragua,759.00,35.00,18.00,4.30,13814261536.00,430.00,0.00,0.00,51.00
Niger,955.00,64.00,94.00,3.50,8119710126.00,2708.00,1.00,0.00,19.00
Nigeria,9302.00,261.00,21.40,  ,375745486521.00,2667.00,0.00,0.00,223.00
Niue,0.00,0.00,,,10010000.00,37221.00,0.00,1.00,6.00
North Korea,0.00,0.00,32.00,,32100000000.00,16174.00,0.00,1.00,214.00
Northern Mariana Islands,21.00,2.00,9.90,,1593000000.00,24000.00,0.00,0.00,124.00
Norway,8425.00,236.00,6.90,8.00,399488897844.00,51489.00,0.00,0.00,17.00
Oman,10423.00,42.00,41.00,6.80,70783875163.00,1160104.00,0.00,0.00,16.00
